Year,GDP-BRA,GDP-BOL,GDP-COL,GDP-GUY,GDP-PER,GDP-PRY,GDP-URY,GDP-VEN,GDP-WLD
2021,1.783666761,4.223623653,2.564324283,4.441013589,3.969351341,3.204250341,0.477907184,0,3.276646336
2020,1.322869054,4.195206334,1.359360868,3.734374061,2.518835442,4.810078856,1.627753973,0,3.379489864
2019,-3.275916906,4.263920864,2.087382502,3.807918837,3.953318715,4.268025833,1.689798164,0,2.798896114
2018,-3.545763393,4.85718718,2.955901375,0.68752121,3.252244772,2.957151735,0.370741265,0,3.08105935
2017,0.50395574,5.460569506,4.499030001,1.686027732,2.382157372,5.301238592,3.238791217,-3.894386475,3.055919871
2016,3.00482267,6.796011428,5.13399352,3.653504768,5.852518211,8.293076489,4.637538641,1.343094036,2.819838043
2015,1.921175985,5.122275581,3.912635767,5.383623469,6.139724706,-0.708043112,3.538178707,5.625956975,2.707161921
2014,3.974423079,5.204092443,6.947891982,5.339378131,6.327192402,4.286371207,5.162133029,4.176425359,3.321024221
2013,7.528225818,4.126722591,4.494658971,3.778200183,8.332459107,11.09523127,7.803409666,-1.488791251,4.532279195
2012,-0.125812003,3.356999574,1.139648645,3.876525381,1.095823659,-0.261137328,4.243494175,-3.202302657,-1.325831914
2011,5.094195448,6.148497875,3.283446186,1.606001675,9.126568301,6.49629212,7.176144668,5.277854124,2.066395257
2010,6.069870607,4.564384269,6.738194691,7.191236241,8.518387769,5.421622872,6.541510842,8.753578808,4.477407141
2009,3.961988709,4.797008824,6.716868698,5.129609348,7.528899044,4.807117193,4.098577364,9.872149109,4.476227986
2008,3.202132062,4.421433127,4.828761108,-1.950957595,6.285060325,2.133490665,7.460132138,10.3179138,4.043142251
2007,5.759964637,4.173295589,5.333022067,1.56335211,4.958203206,4.057418364,5.004160334,18.28660669,4.493562174
2006,1.140828999,2.711339837,3.918271904,-0.632225388,4.165023137,4.320745486,0.805283915,-7.75530005,3.150846537
2005,3.053461857,2.485565738,2.503980466,1.132626962,5.453528938,-0.021404395,-7.732007206,-8.855647353,2.328904921
2004,1.389896404,1.683799127,1.677898308,2.279521659,0.617892326,-0.834054717,-3.844129949,3.394236108,1.99684326
2003,4.387949444,2.507810809,2.924861483,-1.363803903,2.694371398,-2.314140568,-1.929930638,3.686944167,4.487297166
2002,0.467937567,0.426885423,-4.204015244,2.960151803,1.494910643,-1.366079712,-1.939212154,-5.970458146,3.523236263
2001,0.338097902,5.029354755,0.56978409,-1.679104492,-0.391537556,0.068037756,4.518890097,0.294055161,2.794290789
2000,3.394845985,4.954208743,3.430293678,6.18066561,6.476824421,4.242516103,8.547683201,6.370931401,3.904655888
1999,2.208864051,4.361341952,2.055854712,7.955517541,2.798973079,1.573785132,5.577957764,-0.197837257,3.620741052
1998,4.223793634,4.678276597,5.202437593,5.031446558,7.411395047,6.822810304,-1.447598969,3.951662724,3.090843001
1997,5.852870364,4.667265103,5.814661908,8.532423167,12.30836618,5.31791766,7.281342644,-2.349507928,3.306544243
1996,4.924690005,4.269296117,5.385409939,8.175105493,5.243577008,4.936359415,2.657546107,0.275388158,1.808187434
1995,-0.544072051,1.646498183,4.044929438,7.757885776,-0.540509125,1.696428011,7.931588414,6.060473262,2.070091288
1994,1.032189585,5.266526668,2.001607597,6.057866185,2.219259103,3.493650155,3.538808505,9.729887977,1.460283526
