City,State,2021,2010,Change
São Paulo, São Paulo,12396372,11253503,0.1016
Rio de Janeiro, Rio de Janeiro,6775561,6320446,0.072
Brasília, Distrito Federal,3094325,2570160,0.2039
Salvador, Bahia,2900319,2675656,0.084
Fortaleza, Ceará,2703391,2452185,0.1024
Belo Horizonte, Minas Gerais,2530701,2375151,0.0655
Manaus, Amazonas,2255903,1802014,0.2519
Curitiba, Paraná,1963726,1751907,0.1209
Recife, Pernambuco,1661017,1537704,0.0802
Goiânia, Goiás,1555626,1302001,0.1948
Belém, Pará,1506420,1393399,0.0811
Porto Alegre, Rio Grande do Sul,1492530,1409351,0.059
Guarulhos, São Paulo,1404694,1221979,0.1495
Campinas, São Paulo,1223237,1080113,0.1325
São Luís, Maranhão,1115932,1014837,0.0996
São Gonçalo, Rio de Janeiro,1098357,999728,0.0987
Maceió, Alagoas,1031597,932748,0.106
Duque de Caxias, Rio de Janeiro,929449,855048,0.087
Campo Grande, Mato Grosso do Sul,916001,786797,0.1642
Natal, Rio Grande do Norte,896708,803739,0.1157
Teresina, Piauí,871126,814230,0.0699
São Bernardo do Campo, São Paulo,849874,765463,0.1103
João Pessoa, Paraíba,825796,723515,0.1414
Nova Iguaçu, Rio de Janeiro,825388,796257,0.0366
São José dos Campos, São Paulo,737310,629921,0.1705
Santo André, São Paulo,723889,676407,0.0702
Ribeirão Preto, São Paulo,720116,604682,0.1909
Jaboatão dos Guararapes, Pernambuco,711330,644620,0.1035
Uberlândia, Minas Gerais,706597,604013,0.1698
Osasco, São Paulo,701428,666740,0.052
Sorocaba, São Paulo,695328,586625,0.1853
Contagem, Minas Gerais,673849,603442,0.1167
Aracaju, Sergipe,672614,571149,0.1777
Feira de Santana, Bahia,624107,556642,0.1212
Cuiabá, Mato Grosso,623614,551098,0.1316
Joinville, Santa Catarina,604708,515288,0.1735
Aparecida de Goiânia, Goiás,601844,455657,0.3208
Londrina, Paraná,580870,506701,0.1464
Juiz de Fora, Minas Gerais,577532,516247,0.1187
Porto Velho, Rondônia,548952,428527,0.281
Ananindeua, Pará,540410,471980,0.145
Serra, Espírito Santo,536765,409267,0.3115
Caxias do Sul, Rio Grande do Sul,523716,435564,0.2024
Macapá, Amapá,522357,398204,0.3118
Niterói, Rio de Janeiro,516981,487562,0.0603
Florianópolis, Santa Catarina,516524,421240,0.2262
Belford Roxo, Rio de Janeiro,515239,469332,0.0978
Campos dos Goytacazes, Rio de Janeiro,514643,463731,0.1098
Vila Velha, Espírito Santo,508655,414586,0.2269
Mauá, São Paulo,481725,417064,0.155
São João de Meriti, Rio de Janeiro,473385,458673,0.0321
São José do Rio Preto, São Paulo,469173,408258,0.1492
Mogi das Cruzes, São Paulo,455587,387779,0.1749
Betim, Minas Gerais,450024,378089,0.1903
Boa Vista, Roraima,436591,284313,0.5356
Maringá, Paraná,436472,357077,0.2223
Santos, São Paulo,433991,419400,0.0348
Diadema, São Paulo,429550,386089,0.1126
Jundiaí, São Paulo,426935,370126,0.1535
Rio Branco, Acre,419452,336038,0.2482
Montes Claros, Minas Gerais,417478,361915,0.1535
